pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,kalshi_market_id,kalshi_url,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
pair-0294,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,economic policy,1.0,0xd72622d154dfe65b9c019d6afcfe75a55717e5c502db611f555b101aafbf6ec5,will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,https://polymarket.com/market/will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,,"[""Yes"", ""No""]","[""18690049947242812495755151360212639738977254879109748949267393375856311641700"", ""44217754360633979680316989769899520588351517398269898942558308875588541304698""]",yes,KXFEDDECISION-26APR-H25,https://kalshi.com/markets/kxfeddecision-26apr/fed-decision-in-apr-2026/kxfeddecision-26apr-h25,2026-04-29T00:00:00Z,2026-04-29T17:59:00Z,2026-04-29T17:59:00Z
pair-0319,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,world elections,1.0,0x3cd6e52603d80ddbbdac9b1a4d43f9b7faa6aae4fae4d0fdfad3bd58454da7d3,will-jasmine-crockett-win-the-2028-democratic-presidential-nomination,https://polymarket.com/market/will-jasmine-crockett-win-the-2028-democratic-presidential-nomination,,"[""Yes"", ""No""]","[""22103094389913052942362639589409218272323168761614999702665821259175535456835"", ""10893367019711826592833821276710094799225035200719824531380610476790390190688""]",yes,KXPRESNOMD-28-JCRO,https://kalshi.com/markets/kxpresnomd-28/2028-democratic-nominee-for-president/kxpresnomd-28-jcro,2028-11-07T00:00:00Z,2028-11-07T15:00:00Z,2028-11-07T15:00:00Z
pair-0320,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,world elections,1.0,0x8ecd1d15e521b7d1020ad5596cc981c8764e9dcfbc3648f582e1a5138aee7185,will-beto-orourke-win-the-2028-democratic-presidential-nomination,https://polymarket.com/market/will-beto-orourke-win-the-2028-democratic-presidential-nomination,,"[""Yes"", ""No""]","[""37126434962149084556522721025504254258386171468763869879755961635390358765833"", ""2426274669138238576933962603416907393958833898063513872892433203206006096668""]",yes,KXPRESNOMD-28-BORO,https://kalshi.com/markets/kxpresnomd-28/2028-democratic-nominee-for-president/kxpresnomd-28-boro,2028-11-07T00:00:00Z,2028-11-07T15:00:00Z,2028-11-07T15:00:00Z
pair-0321,Will Andrew Yang win the 2028 Democratic presidential nomination?,world elections,1.0,0x450810ae738a0ff820d3248f2b24937f63fb8c8cf422ed2a915125adb4d9d3c8,will-andrew-yang-win-the-2028-democratic-presidential-nomination,https://polymarket.com/market/will-andrew-yang-win-the-2028-democratic-presidential-nomination,,"[""Yes"", ""No""]","[""102504892414163237174864879683522880588750452841477290216845150938663289742135"", ""21234886083000978203440582985665409733123024063268807484684316771005736994028""]",yes,KXPRESNOMD-28-AYAN,https://kalshi.com/markets/kxpresnomd-28/2028-democratic-nominee-for-president/kxpresnomd-28-ayan,2028-11-07T00:00:00Z,2028-11-07T15:00:00Z,2028-11-07T15:00:00Z
pair-0339,Will Pete Hegseth be the next to leave the Trump Cabinet before 2027?,cabinet,1.0,0x646f8f3d9bd911294338b80898b6192ca12a76d62ed8c65c4ec600f32aa6f097,will-pete-hegseth-be-the-next-to-leave-the-trump-cabinet-before-2027-919,https://polymarket.com/market/will-pete-hegseth-be-the-next-to-leave-the-trump-cabinet-before-2027-919,,"[""Yes"", ""No""]","[""56495246011480578133338705107531549829295482150698941443273007113116107751667"", ""84592453476218796007044744816516065187672380069780451046703610415695434991479""]",yes,KXCABOUT-26MAR-PHEG,https://kalshi.com/markets/kxcabout-26mar/who-will-leave-trump-s-cabinet-next/kxcabout-26mar-pheg,2026-12-31T00:00:00Z,2029-01-20T15:00:00Z,2029-01-20T15:00:00Z
pair-0354,LoL: Kiwoom DRX vs DN SOOPers (BO3) - LCK Rounds 1-2,games,1.0,0xd5786fa81474cc98be9b1558eb36480da79881891bd28ae269786e69237b523e,lol-drx-dnf-2026-04-02,https://polymarket.com/market/lol-drx-dnf-2026-04-02,,"[""Kiwoom DRX"", ""DN SOOPers""]","[""67603822079729690528320196010733745008589293516220750697857871014364066095101"", ""98472587104594602754810163963279451660582744253141615708901775843885137765574""]",DN SOOPers,KXLOLGAME-26APR02DNFDRX-DNF,https://kalshi.com/markets/kxlolgame-26apr02dnfdrx/dn-soopers-vs-drx/kxlolgame-26apr02dnfdrx-dnf,2026-04-02T16:00:00Z,2026-04-16T10:00:00Z,2026-04-16T10:00:00Z
pair-0356,Will the highest temperature in New York City be between 60-61°F on April 2?,weather,1.0,0x0be653ca69c68ded247b9d147148bf2eb29246f3c3bdc0efa4b58c25a8c00a6e,highest-temperature-in-nyc-on-april-2-2026-60-61f,https://polymarket.com/market/highest-temperature-in-nyc-on-april-2-2026-60-61f,,"[""Yes"", ""No""]","[""12898720845583618272758343325771198763442902284920344001539671600192994778287"", ""61611830799791999035940783083743167230438641981432339620787187438664658806995""]",yes,KXHIGHNY-26APR02-B60.5,https://kalshi.com/markets/kxhighny-26apr02/highest-temperature-in-nyc-on-apr-2-2026/kxhighny-26apr02-b60.5,2026-04-02T12:00:00Z,2026-04-03T04:59:00Z,2026-04-03T04:59:00Z
pair-0357,"Will Khamzat Chimaev be the UFC Middleweight Champion on December 31, 2026?",ufc,1.0,0x154b5e4cad7d1d18816ca37434fce3b699232ab6b1ee29aeb107d6b1d09758c1,will-khamzat-chimaev-be-the-ufc-middleweight-champion-on-december-31-2026,https://polymarket.com/market/will-khamzat-chimaev-be-the-ufc-middleweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""67660634835671778811364951798894554103988602458180191091499142140553451195784"", ""55203308664976466815032483543462442113516123506425929584997359618629749563916""]",yes,KXUFCMIDDLEWEIGHTTITLE-26-KCHI,https://kalshi.com/markets/kxufcmiddleweighttitle-26/ufc-middleweight-title-holder-on-dec-31-2026/kxufcmiddleweighttitle-26-kchi,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0358,"Will Sean Strickland be the UFC Middleweight Champion on December 31, 2026?",ufc,1.0,0x83df756ae0573207e64790bae996c605553bb0831f8d1ff60823b71b63c09822,will-sean-strickland-be-the-ufc-middleweight-champion-on-december-31-2026,https://polymarket.com/market/will-sean-strickland-be-the-ufc-middleweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""20378600951485464849672966369201654683307593621002954347556085141663626930283"", ""14265907721103675502202673752569855273494951495706289755096181793879117144873""]",yes,KXUFCMIDDLEWEIGHTTITLE-26-SSTR,https://kalshi.com/markets/kxufcmiddleweighttitle-26/ufc-middleweight-title-holder-on-dec-31-2026/kxufcmiddleweighttitle-26-sstr,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0359,"Will Caio Borralho be the UFC Middleweight Champion on December 31, 2026?",ufc,1.0,0x911e17e95c22030539806be68e8b6e37cfa8790d66549a2dd4c9707e3f6abf81,will-caio-borralho-be-the-ufc-middleweight-champion-on-december-31-2026,https://polymarket.com/market/will-caio-borralho-be-the-ufc-middleweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""104105802382507915754579463429629828737664520404647439662618391235451262025658"", ""113892186463551993734738329553407127096791487764393248387144551625920931200307""]",yes,KXUFCMIDDLEWEIGHTTITLE-26-CBOR,https://kalshi.com/markets/kxufcmiddleweighttitle-26/ufc-middleweight-title-holder-on-dec-31-2026/kxufcmiddleweighttitle-26-cbor,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
